,x,y,z
0,0.41364405543197225,0.7180336180193271,0.2118720757107673
1,0.5502884934084443,0.4549258378895368,0.05544225831863945
2,0.6098514878977339,0.4191675756108314,0.6442577632317309
3,0.5481038015336178,0.3772879072043187,0.911185904129625
4,0.5859438150732662,0.37500658546339544,0.2075845942883212
5,0.40601827626518994,0.6399007555906473,0.7161987890412288
6,0.5527616597075002,0.3510554559959682,0.9211047879717192
7,0.5678069470412239,0.3546580542565083,0.9509467294272383
8,0.576050918132705,0.34807212939952015,0.9297190954450778
9,0.575226659143182,0.3347900561466976,0.9505346323574289
10,0.5758448603376545,0.333388614719077,0.9212694369546732
11,0.5072135152603051,0.294930011818914,0.9344595836744302
12,0.5150453244128177,0.3102229874060321,0.8792243379471841
13,0.5416322213313919,0.39136460045337595,0.26586993639526074
14,0.4976504507654048,0.3715665492730049,0.37427887647670277
15,0.3575022835928168,0.518215112223699,0.1702304314516162
16,0.5886231596744282,0.5664467186076314,0.796989689119221
17,0.5842949077637334,0.7167768406759975,0.3433636983935926
18,0.4107585557031379,0.6649626633770402,0.1191271254571945
19,0.3612945252192335,0.6170236963247624,0.3145097101623493
20,0.521743572824486,0.38810460300779054,0.6507483295681984
21,0.49194560059680165,0.37064320753423524,0.9582852238246242
22,0.434872279370326,0.7229179543421365,0.1896131330300807
23,0.42625731294048474,0.2506906159810775,0.14348389565883132
24,0.5340066090205324,0.4512573250510031,0.8937117847080914
25,0.5321516346461754,0.7233709125514658,0.5492579657206726
26,0.5525554999449411,0.24245724492642723,0.6953611926624622
27,0.5673947294836141,0.7120976073603023,0.4629019197850124
28,0.5641795345017667,0.4964509919682707,0.910714241643132
29,0.4835119790239628,0.7564920169844744,0.27122899663892824
30,0.3870776368335175,0.493861886032546,0.09347710109993648
31,0.3695384963107148,0.5459603524512436,0.11979033810721745
32,0.38211888672492306,0.439834060843881,0.16847480209866933
33,0.609233184735753,0.4049053339417299,0.63726284488472
34,0.4973207017477055,0.7429101859555782,0.36333084038213126
35,0.6069659742642393,0.6761745655889431,0.5032975922985828
36,0.4695589931327397,0.6394887327008252,0.794693212827261
37,0.5542249648311569,0.29788897819234594,0.6683427690980147
38,0.38468685518292184,0.6829960064673262,0.26597741312052703
39,0.47650453082848176,0.6222174391454227,0.03916015996515155
40,0.4824443656765175,0.4949299159570175,0.03988552218527573
41,0.4278648914283728,0.3464965007715777,0.10346324686661244
42,0.4513604185359753,0.37798862328324234,0.1999173766510116
43,0.4997938958560819,0.7589443911664355,0.22114598395943486
44,0.5432810081338694,0.5742784906326917,0.0298853061995432
