,x,y,z
0,0.27090229094028473,0.7225673835254409,0.992
1,0.27090229094028473,0.7306607429263661,1.0
2,0.27090229094028473,0.8035009775346922,0.98
3,0.27090229094028473,0.8115943369356173,0.972
4,0.27090229094028473,0.8156410166360799,0.972
5,0.27090229094028473,0.8156410166360799,0.968
6,0.27090229094028473,0.8277810557374676,0.952
7,0.27090229094028473,0.8318277354379302,0.912
8,0.27090229094028473,0.7832675790323795,0.916
9,0.27090229094028473,0.779220899331917,0.912
10,0.27090229094028473,0.7428007820277538,0.916
11,0.27090229094028473,0.7185207038249783,0.952
12,0.38545114547014236,0.7428007820277538,0.96
13,0.38545114547014236,0.7711275399309918,0.984
14,0.38545114547014236,0.7913609384333047,0.984
15,0.38545114547014236,0.795407618133767,0.988
16,0.38545114547014236,0.7994542978342296,0.984
17,0.38545114547014236,0.8399210948388554,0.988
18,0.38545114547014236,0.8439677745393179,0.992
19,0.38545114547014236,0.8561078136407057,0.984
20,0.38545114547014236,0.8561078136407057,0.98
21,0.38545114547014236,0.9046679700462563,0.9400000000000001
22,0.38545114547014236,0.9087146497467189,0.908
23,0.38545114547014236,0.916808009147644,0.9
24,0.38545114547014236,0.916808009147644,0.884
25,0.38545114547014236,0.8844345715439434,0.864
26,0.38545114547014236,0.8642011730416308,0.86
27,0.38545114547014236,0.8601544933411682,0.864
28,0.38545114547014236,0.8399210948388554,0.868
29,0.38545114547014236,0.8358744151383928,0.864
30,0.38545114547014236,0.7630341805300667,0.852
31,0.38545114547014236,0.7589875008296041,0.856
32,0.38545114547014236,0.7428007820277538,0.86
33,0.38545114547014236,0.7428007820277538,0.864
34,0.38545114547014236,0.7347074226268286,0.872
35,0.38545114547014236,0.7347074226268286,0.88
36,0.38545114547014236,0.7306607429263661,0.884
37,0.5,0.0831919908523559,0.052000000000000005
38,0.5,0.08723867055281846,0.05600000000000001
39,0.5,0.09128535025328102,0.052000000000000005
40,0.5,0.10747206905513129,0.052000000000000005
41,0.5,0.1277054675574441,0.032
42,0.5,0.13175214725790668,0.032
43,0.5,0.13175214725790668,0.028
44,0.5,0.09937870965420616,0.016
45,0.5,0.0953320299537436,0.02
46,0.5,0.0831919908523559,0.02
47,0.5,0.0831919908523559,0.74
48,0.5,0.08723867055281846,0.744
49,0.5,0.10342538935466872,0.732
50,0.5,0.11556542845605641,0.732
51,0.5,0.1398455066588318,0.708
52,0.5,0.18435898336391998,0.7
53,0.5,0.20863906156669537,0.684
54,0.5,0.2936193352764092,0.696
55,0.5,0.2976660149768718,0.692
56,0.5,0.4109730465898236,0.6880000000000001
57,0.5,0.49999999999999994,0.744
58,0.5,0.6659138677189651,0.772
59,0.5,0.6780539068203528,0.788
60,0.5,0.6821005865208154,0.804
61,0.5,0.7185207038249783,0.84
62,0.5,0.7185207038249783,0.844
63,0.5,0.7225673835254409,0.844
64,0.5,0.7428007820277538,0.868
65,0.5,0.7468474617282164,0.868
66,0.5,0.7873142587328421,0.9
67,0.5,0.8601544933411682,0.916
68,0.5,0.8642011730416308,0.912
69,0.5,0.888481251244406,0.904
70,0.5,0.9087146497467189,0.872
71,0.5,0.8965746106453312,0.8160000000000001
72,0.5,0.8682478527420934,0.784
73,0.5,0.8642011730416308,0.784
74,0.5,0.7913609384333047,0.74
75,0.5,0.7347074226268286,0.732
76,0.5,0.7306607429263661,0.736
77,0.5,0.7144740241245158,0.736
78,0.5,0.6942406256222031,0.72
79,0.5,0.6901939459217405,0.712
80,0.5,0.7023339850231283,0.64
81,0.5,0.6901939459217405,0.62
82,0.5,0.6780539068203528,0.58
83,0.5,0.6537738286175774,0.548
84,0.5,0.6456804692166522,0.496
85,0.5,0.6497271489171148,0.492
86,0.5,0.6699605474194277,0.364
87,0.5,0.6982873053226657,0.316
88,0.5,0.7063806647235906,0.23199999999999998
89,0.5,0.7023339850231283,0.22799999999999998
90,0.5,0.6780539068203528,0.148
91,0.5,0.6537738286175774,0.12000000000000001
92,0.5,0.6497271489171148,0.12000000000000001
93,0.5,0.6254470707143394,0.10400000000000001
94,0.5,0.49999999999999994,0.09200000000000001
95,0.5,0.4959533202995374,0.096
96,0.5,0.4554865232949118,0.1
97,0.5,0.4514398435944492,0.096
98,0.5,0.435253124792599,0.09200000000000001
99,0.5,0.3947863277879733,0.052000000000000005
100,0.5,0.3947863277879733,0.048
101,0.5,0.39073964808751077,0.048
102,0.5,0.3826462886865856,0.04000000000000001
103,0.5,0.2693392570736338,0.028
104,0.5,0.26529257737317125,0.032
105,0.5,0.249105858571321,0.032
106,0.5,0.249105858571321,0.036000000000000004
107,0.5,0.26124589767270867,0.04000000000000001
108,0.5,0.4190664059907487,0.152
109,0.5,0.42311308569121125,0.152
110,0.5,0.4150197262902861,0.13999999999999999
111,0.5,0.4150197262902861,0.13599999999999998
112,0.5,0.4190664059907487,0.132
113,0.5,0.47167324209676204,0.144
114,0.5,0.4838132811981497,0.156
115,0.5,0.4635798826958369,0.16799999999999998
116,0.5,0.42715976539167383,0.16
117,0.5,0.4757199217972246,0.204
118,0.5,0.4757199217972246,0.208
119,0.5,0.4878599608986123,0.224
120,0.5,0.5040466797004626,0.288
121,0.5,0.4392998044930615,0.384
122,0.5,0.42715976539167383,0.464
123,0.5,0.42311308569121125,0.46799999999999997
124,0.5,0.42715976539167383,0.472
125,0.5,0.44334648419352407,0.536
126,0.5,0.46762656239629946,0.568
127,0.5,0.47167324209676204,0.588
128,0.5,0.4554865232949118,0.604
129,0.5,0.42715976539167383,0.608
130,0.5,0.42311308569121125,0.604
131,0.5,0.4150197262902861,0.604
132,0.5,0.4109730465898236,0.608
133,0.5,0.406926366889361,0.624
134,0.5,0.40287968718889844,0.628
135,0.5,0.18435898336391998,0.676
136,0.5,0.18031230366345743,0.672
137,0.5,0.15603222546068207,0.676
138,0.5,0.15603222546068207,0.68
139,0.5,0.1398455066588318,0.7
140,0.5,0.13175214725790668,0.704
141,0.5,0.10747206905513129,0.704
142,0.5,0.10342538935466872,0.7
143,0.5,0.09128535025328102,0.708
144,0.5,0.0831919908523559,0.708
145,0.5,0.20054570216577028,0.036000000000000004
146,0.5,0.2045923818662328,0.032
147,0.5,0.22077910066808307,0.032
148,0.5,0.2248257803685456,0.028
149,0.5,0.2288724600690082,0.032
150,0.5,0.23291913976947076,0.032
151,0.5,0.1964990224653077,0.004
152,0.5,0.16817226456206974,0.0
153,0.5,0.14793886605975692,0.024000000000000004
154,0.5,0.14389218635929435,0.024000000000000004
155,0.6145488545298576,0.4312064450921364,0.696
156,0.6145488545298576,0.44739316389398665,0.716
157,0.6145488545298576,0.4514398435944492,0.716
158,0.6145488545298576,0.47976660149768713,0.736
159,0.6145488545298576,0.7711275399309918,0.828
160,0.6145488545298576,0.7751742196314544,0.824
161,0.6145488545298576,0.8075476572351548,0.8200000000000001
162,0.6145488545298576,0.8196876963365425,0.804
163,0.6145488545298576,0.8237343760370051,0.748
164,0.6145488545298576,0.8196876963365425,0.744
165,0.6145488545298576,0.8115943369356173,0.716
166,0.6145488545298576,0.7104273444240532,0.58
167,0.6145488545298576,0.7185207038249783,0.24
168,0.6145488545298576,0.7144740241245158,0.236
169,0.6145488545298576,0.6982873053226657,0.16
170,0.6145488545298576,0.6618671880185025,0.116
171,0.6145488545298576,0.593073633110639,0.108
172,0.6145488545298576,0.5890269534101764,0.112
173,0.6145488545298576,0.5566535158064758,0.12400000000000001
174,0.6145488545298576,0.49999999999999994,0.172
175,0.6145488545298576,0.49999999999999994,0.176
176,0.6145488545298576,0.4878599608986123,0.192
177,0.6145488545298576,0.4959533202995374,0.276
178,0.6145488545298576,0.42715976539167383,0.372
179,0.6145488545298576,0.406926366889361,0.444
180,0.7290977090597153,0.0831919908523559,0.624
181,0.7290977090597153,0.08723867055281846,0.624
182,0.7290977090597153,0.09937870965420616,0.612
183,0.7290977090597153,0.10747206905513129,0.612
184,0.7290977090597153,0.13579882695836923,0.592
185,0.7290977090597153,0.39073964808751077,0.656
186,0.7290977090597153,0.47167324209676204,0.708
187,0.7290977090597153,0.49190664059907485,0.712
188,0.7290977090597153,0.5364201173041631,0.744
189,0.7290977090597153,0.5728402346083261,0.748
190,0.7290977090597153,0.5768869143087887,0.752
191,0.7290977090597153,0.5809335940092513,0.748
192,0.7290977090597153,0.6294937504148019,0.736
193,0.7290977090597153,0.6537738286175774,0.704
194,0.7290977090597153,0.65782050831804,0.628
